[2025-05-21 03:59:07.409255] Starting Kafka producer...
[2025-05-21 04:01:19.670251] Sent record 133
[2025-05-21 04:01:20.671012] Sent record 134
[2025-05-21 04:01:21.671789] Sent record 135
[2025-05-21 04:01:22.672930] Sent record 136
[2025-05-21 04:01:23.673719] Sent record 137
[2025-05-21 04:01:24.674354] Sent record 138
[2025-05-21 04:01:25.675159] Sent record 139
[2025-05-21 04:01:26.675895] Sent record 140
[2025-05-21 04:01:27.676843] Sent record 142
[2025-05-21 04:01:28.677609] Sent record 141
[2025-05-21 04:01:29.678337] Sent record 143
[2025-05-21 04:01:30.678962] Sent record 144
[2025-05-21 04:01:31.679682] Sent record 145
[2025-05-21 04:01:32.680735] Sent record 146
[2025-05-21 04:01:33.682286] Sent record 147
[2025-05-21 04:01:34.683258] Sent record 148
[2025-05-21 04:01:35.684070] Sent record 149
[2025-05-21 04:01:36.684866] Sent record 153
[2025-05-21 04:01:37.685563] Sent record 152
[2025-05-21 04:01:38.686331] Sent record 151
[2025-05-21 04:01:39.687565] Sent record 150
[2025-05-21 04:01:40.688700] Sent record 154
[2025-05-21 04:01:41.691087] Sent record 155
[2025-05-21 04:01:42.693601] Sent record 156
[2025-05-21 04:01:43.694399] Sent record 157
[2025-05-21 04:01:44.695197] Sent record 158
[2025-05-21 04:01:45.695901] Sent record 160
[2025-05-21 04:01:46.696672] Sent record 161
[2025-05-21 04:01:47.697379] Sent record 159
[2025-05-21 04:01:48.698110] Sent record 162
[2025-05-21 04:01:49.698900] Sent record 163
[2025-05-21 04:01:50.701205] Sent record 164
[2025-05-21 04:01:51.702081] Sent record 165
[2025-05-21 04:01:52.702967] Sent record 166
[2025-05-21 04:01:53.703987] Sent record 167
[2025-05-21 04:01:54.704793] Sent record 169
[2025-05-21 04:01:55.705580] Sent record 168
[2025-05-21 04:01:56.706399] Sent record 170
[2025-05-21 04:01:57.707132] Sent record 64701
[2025-05-21 04:01:58.708090] Sent record 64700
